day,id,city,state,kind,major,lat,lng,address,highway,note,eat,see
3,clingmans-dome,Clingmans Dome,TN,activity,False,35.5568,-83.4952,"Clingmans Dome Observation Tower, Great Smoky Mountains NP",Clingmans Dome Rd,Paved 0.5-mi climb. ~30 min round trip.,Water only.,"Highest point in the Smokies (6,643 ft). 360° tower view."
3,nashville,Nashville,TN,overnight,True,36.1627,-86.7816,"East Nashville or Germantown, Nashville, TN",I-40 W · US-129,Target East Nashville or Germantown. Book ahead — Wed nights are surprisingly busy.,Prince's Hot Chicken (Nashville original) or Hattie B's.,East Nashville or Germantown. Skip lower Broadway.
4,memphis,Memphis,TN,meal,False,35.1341,-90.0578,"National Civil Rights Museum, 450 Mulberry St, Memphis, TN 38103",I-40 W,2.5 hr stop total: 90 min museum + 45 min lunch + walk.,"Central BBQ, 147 E Butler Ave — pulled pork plate.",National Civil Rights Museum at the Lorraine Motel. 90 min minimum.
4,amarillo,Amarillo,TX,overnight,True,35.2219,-101.8313,"I-40 corridor, Amarillo, TX","I-40 W · through Little Rock, OKC",THE transit day. Over 11 hrs door to door. Arrive ~10 PM. Sleep hard.,Late arrival — hotel bar or 24-hr taqueria off I-40.,The horizon flattening for hours. Sunset in Oklahoma.
5,palo-duro,Palo Duro Canyon,TX,scenic,False,34.9349,-101.6579,"Palo Duro Canyon State Park, 11450 State Hwy Park Rd 5, Canyon, TX 79015",TX-217 · Park Rd 5,"Real 2-hour stop, not a drive-by. Cadillac Ranch cut.",Nothing — provisions from Amarillo.,"'Grand Canyon of Texas.' Red rock, 800 ft deep."
5,tucumcari,Tucumcari,NM,meal,False,35.1717,-103.725,"Route 66, Tucumcari, NM 88401",I-40 W · Route 66 downtown loop,"Get off I-40, drive Tucumcari Blvd end to end, then back on the highway.","Del's Restaurant — neon cow sign, real green chile.",Blue Swallow Motel neon at dusk.
5,albuquerque,Albuquerque,NM,camp,True,35.0844,-106.6504,"BLM dispersed camping, west of Albuquerque, NM",I-40 W,"First car-camping night. Elevation ~5,300 ft, near-freezing overnight.","Green chile cheeseburger at Sadie's, 5400 Cutler Ave.",Sandia Peak turning pink at sunset.
6,painted-desert,Painted Desert,AZ,scenic,False,35.0654,-109.781,"Painted Desert Visitor Center, Petrified Forest NP, AZ",I-40 W · PEFO N entrance,"Enter north, exit south. 2 hours minimum inside the park.",Cold breakfast from the cooler on the rim.,Painted Desert rim + Petrified Forest 28-mi scenic road.
6,meteor-crater,Meteor Crater,AZ,scenic,False,35.0272,-111.0224,"Meteor Crater Natural Landmark, Winslow, AZ 86047",I-40 W · exit 233,"20 min off I-40, ~45 min at the rim.",Small deli inside the visitor center.,"0.7-mi-wide asteroid impact crater. 50,000 years old."
6,grand-canyon,Grand Canyon,AZ,camp,True,36.0553,-112.1394,"Mather Campground, Grand Canyon South Rim, AZ",US-180 N · AZ-64 N,"Mather Campground — Sat Nov 7 = weekend, book EARLY.",Camp stove: pasta + a can of chile. Or Bright Angel restaurant.,South Rim at sunset. Hopi Point or Yavapai Point.
7,antelope-canyon,Antelope Canyon,AZ,activity,False,36.8619,-111.3743,"Upper Antelope Canyon, Page, AZ 86040",US-89 N,The one time-locked booking of the trip. 8-10 AM slot for the beams.,Coffee in Page — Big John's or Ravens Cafe.,Sandstone light beams. Navajo-guided only.
7,horseshoe-bend,Horseshoe Bend,AZ,scenic,False,36.8791,-111.5104,"Horseshoe Bend Overlook, Page, AZ",US-89 · 5 min south of Page,45 min stop. Then push west through Kanab to Zion.,Post-tour lunch: State 48 Tavern or Bonkers in Page.,"Colorado River in a perfect horseshoe, 1,000 ft below."
7,zion,Zion National Park,UT,camp,True,37.2,-112.9868,"Watchman Campground, Zion NP, Springdale, UT",US-89A · UT-9,Two nights here (Sun + Mon). Watchman = walk-in campground with hot showers.,Springdale: Oscar's Cafe (fish tacos) or MeMe's Cafe (crepes).,Watchman peak turning red at sunset from camp.
9,valley-of-fire,Valley of Fire,NV,scenic,False,36.4293,-114.5225,"Valley of Fire State Park Visitor Center, Overton, NV",I-15 S · NV-169,1.5 hr stop before the LA push. Last true desert of the trip.,Provisions from Springdale gas station or St. George.,Red sandstone spires. Fire Wave loop is 1.5 mi.
9,la,Los Angeles,CA,overnight,True,34.0089,-118.4973,"Santa Monica / Venice / Malibu, Los Angeles, CA",I-15 S · I-10 W,Book Santa Monica specifically — Wed morning is PCH north to Point Dume + El Matador.,Gjelina in Venice or Bay Cities Deli in Santa Monica.,The Pacific. Stand there until the engine ticks cool.
10,point-dume,Point Dume,CA,scenic,False,34.0,-118.805,"Point Dume State Beach & Nature Preserve, 6800 Westward Beach Rd, Malibu, CA 90265",PCH (CA-1) · north from Santa Monica,"First real PCH stop, Wed ~9 AM. 45 min: cliff loop trail + optional 15 min down the stairs to sea level.",Coffee at Malibu Farm Pier Cafe on the way out. Nothing at the point itself — bring water.,Cliffside overlook of the whale-migration channel. Gray whales southbound in November. Stairs down to the tide pools.
10,el-matador,El Matador,CA,activity,False,34.0357,-118.8737,"El Matador State Beach, 32350 Pacific Coast Hwy, Malibu, CA 90265",PCH (CA-1) · 4 mi north of Point Dume,"The Pacific recovery plunge, if the surf is calm: 3 min cold, 10 min in the sun, repeat twice. Cold water on marathon-tired quads.","Neptune's Net (42505 PCH, 5 mi further north) — burger + fried shrimp if the mood strikes. Otherwise cooler snacks.","Sea stacks, sandstone arches, tide pools. The postcard-Malibu photograph."
10,lax,LAX — Wheels Up,CA,finish,True,33.9416,-118.4085,Los Angeles International Airport (LAX),PCH S → I-10 E → I-405 S,"Wed ~2 PM back at Santa Monica (wash car, gas, repack). Sleep SM. Thu Nov 12: leave hotel 10:30, rental drop 11:30, LAX 12:00, wheels up 15:00.",Coffee at the gate. You made it.,The Pacific one more time out the window on takeoff.
